
File_ID,Group_ID,rating_1,rating_2,rating_3,rating_4,rating_5
img_0917.png,H,1,1,1,1,1
img_0918.png,H,2,2,2,2,2
img_0919.png,H,0,0,0,0,0
img_0920.png,H,0,0,0,0,0
img_0921.png,H,2,2,2,2,2
img_0922.png,H,1,0,0,0,0
img_0923.png,H,2,2,2,2,2
img_0924.png,H,2,2,2,2,2
img_0925.png,H,0,0,1,1,2
img_0926.png,H,0,1,1,0,1
img_0927.png,H,2,2,2,2,2
img_0928.png,H,1,1,2,1,1
img_0929.png,H,2,2,2,2,2
img_0930.png,H,2,2,2,2,1
img_0931.png,H,2,2,2,2,2
img_0932.png,H,1,1,1,0,1
img_0933.png,H,1,1,1,1,1
img_0934.png,H,2,1,1,1,1
img_0935.png,H,1,1,1,1,1
img_0936.png,H,2,2,2,2,2
img_0937.png,H,2,2,2,2,2
img_0938.png,H,1,0,0,0,1
img_0939.png,H,0,0,0,1,1
img_0940.png,H,1,1,1,2,1
img_0941.png,H,1,1,1,1,2
img_0942.png,H,0,0,0,0,0
img_0943.png,H,0,0,1,0,0
img_0944.png,H,1,1,0,1,1
img_0945.png,H,2,2,2,2,2
img_0946.png,H,2,2,2,2,2
img_0947.png,H,1,0,0,0,1
img_0948.png,H,2,2,2,2,2
img_0949.png,H,2,1,2,2,1
img_0950.png,H,1,1,1,1,1
img_0951.png,H,0,0,1,0,0
img_0952.png,H,2,1,2,2,2
img_0953.png,H,1,0,0,1,1
img_0954.png,H,2,1,2,2,2
img_0955.png,H,2,2,2,2,2
img_0956.png,H,1,1,1,2,1
img_0957.png,H,1,1,1,1,1
img_0958.png,H,2,2,2,2,2
img_0959.png,H,1,1,1,2,2
img_0960.png,H,2,2,2,2,2
img_0961.png,H,2,1,1,2,2
img_0962.png,H,2,2,2,2,2
img_0963.png,H,2,2,2,2,2
img_0964.png,H,2,1,2,2,2
img_0965.png,H,0,0,0,0,0
img_0966.png,H,2,2,2,2,2
img_0967.png,H,0,0,0,0,0
img_0968.png,H,1,1,1,1,2
img_0969.png,H,2,2,2,2,2
img_0970.png,H,1,1,1,1,1
img_0971.png,H,0,0,0,0,0
img_0972.png,H,1,1,1,1,1
img_0973.png,H,0,0,0,0,0
img_0974.png,H,1,1,1,1,1
img_0975.png,H,0,0,0,0,0
img_0976.png,H,2,2,2,2,2
img_0977.png,H,2,2,2,2,2
img_0978.png,H,1,1,2,1,2
img_0979.png,H,0,0,0,0,0
img_0980.png,H,0,0,0,0,0
img_0981.png,H,0,0,0,0,0
img_0982.png,H,2,2,2,1,2
img_0983.png,H,1,1,2,1,2
img_0984.png,H,2,2,2,2,2
img_0985.png,H,2,2,2,2,2
img_0986.png,H,2,2,2,2,2
img_0987.png,H,0,0,0,1,0
img_0988.png,H,0,0,0,0,0
img_0989.png,H,1,1,1,1,1
img_0990.png,H,1,1,0,1,1
img_0991.png,H,1,1,1,1,1
img_0992.png,H,0,0,0,1,1
img_0993.png,H,0,0,0,0,0
img_0994.png,H,0,0,0,0,0
img_0995.png,H,2,1,2,2,2
img_0996.png,H,1,1,1,1,1
img_0997.png,H,1,1,1,2,2
img_0998.png,H,1,0,0,1,1
img_0999.png,H,2,1,2,2,2
img_1000.png,H,2,1,2,2,2
img_1001.png,H,0,0,0,0,0
img_1002.png,H,2,1,2,2,2
img_1003.png,H,0,0,0,1,1
img_1004.png,H,0,2,2,2,2
img_1005.png,H,1,1,1,1,1
img_1006.png,H,2,2,2,2,2
img_1007.png,H,1,1,1,1,1
img_1008.png,H,0,0,0,1,1
img_1009.png,H,0,0,0,0,0
img_1010.png,H,0,0,0,0,0
img_1011.png,H,1,1,1,1,2
img_1012.png,H,1,1,1,1,1
img_1013.png,H,0,0,0,0,1
img_1014.png,H,1,1,1,1,2
img_1015.png,H,1,0,1,1,2
img_1016.png,H,1,2,2,2,2
img_1017.png,H,1,1,1,1,1
img_1018.png,H,1,0,1,0,1
img_1019.png,H,2,2,2,2,2
img_1020.png,H,1,1,1,1,1
img_1021.png,H,2,2,1,2,2
img_1022.png,H,1,1,1,1,1
img_1023.png,H,1,1,1,1,1
img_1024.png,H,0,0,0,0,1
img_1025.png,H,0,0,0,0,0
img_1026.png,H,1,1,1,1,1
img_1027.png,H,1,1,1,1,2
img_1028.png,H,1,1,1,1,1
img_1029.png,H,2,2,2,2,2
img_1030.png,H,1,2,2,2,2
img_1031.png,H,0,0,0,0,0
img_1032.png,H,1,0,1,1,1
img_1033.png,H,2,2,2,2,2
img_1034.png,H,1,1,0,1,1
img_1035.png,H,1,0,1,1,1
img_1036.png,H,0,0,0,1,1
img_1037.png,H,2,2,2,2,2
img_1038.png,H,1,2,1,1,1
img_1039.png,H,2,2,2,2,2
img_1040.png,H,1,1,1,1,1
img_1041.png,H,1,0,1,1,1
img_1042.png,H,2,2,2,2,2
img_1043.png,H,1,1,1,1,2
img_1044.png,H,1,1,1,1,1
img_1045.png,H,2,2,2,2,2
img_1046.png,H,2,2,2,2,2
img_1047.png,H,2,2,2,2,2
img_1048.png,H,1,1,1,1,2
img_1049.png,H,2,2,2,2,2
img_1050.png,H,2,2,2,2,2
img_1051.png,H,0,0,0,0,0
img_1052.png,H,0,0,0,0,0
img_1053.png,H,0,0,0,0,0
img_1054.png,H,1,1,1,0,1
img_1055.png,H,1,1,1,1,1
img_1056.png,H,2,2,2,2,2
img_1057.png,H,2,2,2,2,1
img_1058.png,H,0,0,0,0,0
img_1059.png,H,2,2,2,2,2
img_1060.png,H,0,0,0,0,0
img_1061.png,H,1,1,2,1,1
img_1062.png,H,1,1,1,1,2
img_1063.png,H,0,0,0,0,0
img_1064.png,H,0,0,0,0,0
img_1065.png,H,1,1,1,1,1
img_1066.png,H,0,0,0,0,0
img_1067.png,H,2,2,2,2,2
img_1068.png,H,1,2,1,1,2
img_1069.png,H,0,0,0,0,1
img_1070.png,H,0,1,0,0,2
img_1071.png,H,0,0,0,0,1
img_1072.png,H,0,0,1,0,1
img_1073.png,H,1,0,0,1,1
img_1074.png,H,1,1,1,1,1
img_1075.png,H,2,2,2,2,2
img_1076.png,H,2,2,2,2,2
img_1077.png,H,1,2,2,1,2
img_1078.png,H,1,1,1,1,1
img_1079.png,H,0,0,0,0,0
img_1080.png,H,1,1,1,1,1
img_1081.png,H,0,0,0,0,0
img_1082.png,H,1,1,1,1,1
img_1083.png,H,0,1,0,0,0
img_1084.png,H,0,0,0,0,1
img_1085.png,H,0,0,0,0,0
img_1086.png,H,1,1,1,1,1
img_1087.png,H,0,0,0,0,0
img_1088.png,H,0,1,0,1,1
img_1089.png,H,1,1,1,1,1
img_1090.png,H,2,2,2,2,2
img_1091.png,H,0,0,0,0,1
img_1092.png,H,2,2,2,2,2
img_1093.png,H,0,0,0,0,0
img_1094.png,H,1,1,1,1,1
img_1095.png,H,1,1,1,1,1
img_1096.png,H,0,0,2,0,0
img_1097.png,H,2,2,2,2,2
img_1098.png,H,0,0,0,0,0
img_1099.png,H,0,0,0,0,0
img_1100.png,H,1,1,1,1,1
img_1101.png,H,0,0,0,0,0
img_1102.png,H,1,1,1,1,1
img_1103.png,H,0,0,0,1,1
img_1104.png,H,2,1,2,1,2
img_1105.png,H,1,1,0,1,1
img_1106.png,H,0,0,1,0,0
img_1107.png,H,1,1,1,1,1
img_1108.png,H,1,0,0,1,1
img_1109.png,H,0,0,0,1,0
img_1110.png,H,1,1,2,1,1
img_1111.png,H,1,1,1,1,1
img_1112.png,H,1,1,1,1,1
img_1113.png,H,2,2,2,2,2
img_1114.png,H,0,0,0,0,0
img_1115.png,H,1,1,2,1,1
img_1116.png,H,2,2,2,2,2
